operador,linea,servicio,tipo_traccion,trenes_km,coches_km,trenes_programados,trenes_cancelados,trenes_corridos,trenes_puntuales,trenes_atrasados,regularidad_absoluta,regularidad_relativa,cumplimiento_programa,pax_pagos,pax_dia_habil,ocupacion_media,pax_km,recaudacion_pesos,tarifa_media_pesos,km_linea,estaciones,observaciones,sin_programa,periodo,tasa_cancelacion
Ferrovías S.A.C.,Belgrano Norte,BN - Retiro-Villa Rosa (d),Diésel,189756.1,1223926.845,4496.0,112.0,4384.0,4163.0,221.0,0.9259341637010676,0.9495894160583942,0.9750889679715302,2953060.0,108408.95741556535,42.56134965321395,52091978.4,1852277.8,0.6272401508943266,51.944,22.0,,False,2005-01-01,0.0249
TMB - Transportes Metropolitanos Belgrano Sur S.A.,Belgrano Sur,BS - Buenos Aires-González Catán (d),Diésel,79042.17,372288.62069999997,2632.0,43.0,2589.0,2407.0,182.0,0.9145136778115501,0.9297025878717652,0.9836626139817629,672708.0,25204.496065942298,31.94692713851192,11893477.44,,,30.53,14.0,,False,2005-01-01,0.0163
TMB - Transportes Metropolitanos Belgrano Sur S.A.,Belgrano Sur,BS - Buenos Aires-Marinos del Crucero Gral. Belgrano (d),Diésel,49038.55500000001,196154.22000000003,1371.0,36.0,1335.0,978.0,357.0,0.7133479212253829,0.7325842696629213,0.973741794310722,269529.0,10098.501311352566,21.98506868728085,4312464.0,,,36.733000000000004,17.0,,False,2005-01-01,0.0263
TMB - Transportes Metropolitanos Belgrano Sur S.A.,Belgrano Sur,BS - Puente Alsina-Marinos del Crucero Gral. Belgrano (d),Diésel,8184.96,32739.84,248.0,8.0,240.0,157.0,83.0,0.6330645161290323,0.6541666666666667,0.967741935483871,0.0,0.0,0.0,0.0,,,34.104,16.0,,False,2005-01-01,0.0323
TBA - Trenes de Buenos Aires S.A.,Mitre,MIT - Retiro-Bartolomé Mitre (e),Eléctrico,53202.257999999994,212809.03199999998,3195.0,54.0,3141.0,3051.0,90.0,0.9549295774647887,0.9713467048710601,0.9830985915492958,278499.0,10223.898678414098,18.321524999935153,3898986.0,,,16.938,11.0,,False,2005-01-01,0.0169
TBA - Trenes de Buenos Aires S.A.,Mitre,MIT - Retiro-José León Suárez (e),Eléctrico,97231.791,427819.8804,4409.0,92.0,4317.0,4109.0,208.0,0.9319573599455658,0.9518183924021311,0.9791335903833068,1775080.0,65164.46402349487,66.38606876670988,28401280.0,,,22.523,15.0,,False,2005-01-01,0.0209
TBA - Trenes de Buenos Aires S.A.,Mitre,MIT - Retiro-Tigre (e),Eléctrico,152694.88,839821.8400000001,5500.0,92.0,5408.0,4832.0,576.0,0.8785454545454545,0.893491124260355,0.9832727272727273,2840392.0,104272.83406754772,60.87845488752709,51127056.0,,,28.235,17.0,,False,2005-01-01,0.0167
TBA - Trenes de Buenos Aires S.A.,Mitre,MIT - Victoria-Capilla del Señor (d),Diésel,53265.888,213063.552,988.0,52.0,936.0,765.0,171.0,0.7742914979757085,0.8173076923076923,0.9473684210526315,73206.0,2687.444933920705,9.964041151440112,2122974.0,,,56.908,10.0,,False,2005-01-01,0.0526
TBA - Trenes de Buenos Aires S.A.,Mitre,MIT - Villa Ballester-Zárate (d),Diésel,63680.32000000001,191040.96000000002,956.0,76.0,880.0,663.0,217.0,0.6935146443514645,0.7534090909090909,0.9205020920502092,82725.0,3036.8942731277534,12.557647323380284,2399025.0,,,72.364,12.0,,False,2005-01-01,0.0795
TMR - Transportes Metropolitanos Gral. Roca S.A.,Roca,ROC - Constitución-Temperley-Bosques-Gutiérrez (d),Diésel,55745.34,390217.38,1500.0,30.0,1470.0,1432.0,38.0,0.9546666666666667,0.9741496598639455,0.98,2620.2516015867304,93.4802569242501,0.15981345607354594,62361.98811776419,,,37.922,18.0,,False,2005-01-01,0.02
